frame,frame_mean_step_frac,frame_max_step_frac,frame_step_std_frac
2,0.00031459847370659644,0.0006902020168762,0.0001278983835664948
3,0.00031712178824716515,0.0006985964730085,0.00012971942010867182
4,0.0003204082167608343,0.0007083983476829,0.00013194547067127597
5,0.00032441366144483457,0.000719552833432,0.00013456047960490534
6,0.00032908587033644816,0.0007319234146411,0.0001375332878123081
7,0.0003343575728514553,0.0007453605894464,0.0001408357877926141
8,0.00034014759765789486,0.0007596717520745,0.00014442462913682284
9,0.00034634609521936736,0.000774554151367,0.000148234537686048
10,0.0003528317461723508,0.0007897352161958,0.00015219706705597215
11,0.00035945752605275955,0.0008048369555381,0.00015622317898631913
12,0.0003660655783192105,0.0008195901347625,0.0001602136992608475
13,0.00037248322132396675,0.0008335760695941,0.00016406154686708283
14,0.0003785200731212508,0.0008464287600855,0.00016766265348905238
15,0.00038398586942728986,0.0008577643528965,0.00017092156771305217
16,0.00038868633210741564,0.0008671235729122,0.00017375227068939367
17,0.0003924402033645688,0.0008741298398407,0.00017608423655029827
18,0.0003951004812219347,0.0008784015285164,0.0001778440269384465
19,0.00039655414044464433,0.0008796814802529,0.0001789823825762851
20,0.00039675069319321417,0.0008778444562677,0.00017944990896719937
21,0.0003956867961863074,0.0008729067007418,0.00017922308175824202
22,0.00039341291165245437,0.0008649935940803,0.00017829678370057662
23,0.000390018911900121,0.0008543183002253,0.0001767057500172055
24,0.0003856279802325665,0.0008411845727306,0.00017452258309409808
25,0.0003803814269545959,0.0008259041240362,0.00017185119417444087
26,0.000374448900815392,0.0008088631145007,0.00016881492117604846
27,0.0003680120312859118,0.0007905337823901,0.00016554609883666932
28,0.0003612613200638201,0.0007713481472072,0.00016217592165471953
29,0.00035437826810452255,0.000751693492655,0.00015881163021951397
30,0.0003475415264311224,0.0007319779933167,0.00015556531123360254
31,0.0003409063832287848,0.0007125186283178,0.0001525234983321998
32,0.00033461770486891985,0.0006936333580502,0.00014976525889185606
33,0.00032879158414184334,0.0006755296648556,0.00014734799301049562
34,0.00032353650890140016,0.0006584297494797,0.0001453207545893136
35,0.00031894630272796354,0.0006424810300702,0.00014370975517714863
