na_index,mean_step_frac,max_step_frac,step_std_frac
0,0.0004015626416802908,0.0008193554544884,0.0001704089349133574
1,0.0003241850117385724,0.0006823168590178,0.00012015081239181173
2,0.00035487451560333594,0.0007827412702163,0.00014249656633913782
3,0.00035601349086412725,0.0008341838610882,0.0001472708142610866
4,0.0003286758634371261,0.0008783863422207,0.00014388884756440427
5,0.00033322615606443785,0.0007032640964815,0.00013569705276114926
6,0.00034678341510317566,0.0008796814802529,0.0001426702172755569
7,0.0003500942812995192,0.0007831639813602,0.00012067833593528382
8,0.0003672529888616911,0.0008231209097696,0.0001535645864557903
9,0.0003459451748469313,0.0009759446044217,0.00015143503484640045
10,0.0003758926628925052,0.0009896145288444,0.00016364027527785325
11,0.0004240265557991401,0.000891443880118,0.00016450975624978634
12,0.00038160152455171497,0.0008128925435136,0.0001756377675335077
13,0.00037517209417684596,0.0010900846112572,0.00014825233682846676
14,0.0004089340810209379,0.000948981536069,0.0001633744765568041
15,0.00035951800375031676,0.0007341361596461,0.00013196105344679153
16,0.00035991306021257235,0.0008794201607877,0.00017538877575112892
17,0.0003696814479626283,0.0008325173019823,0.0001612600721463316
18,0.00038212551802410184,0.0008401674949675,0.00015030763962391603
19,0.00037785248843825,0.0007610640739123,0.0001247407858087439
20,0.00034342843947742435,0.0008296420827079,0.00014564787843279864
21,0.00033829557032246196,0.0007937716045563,0.00014002190971057097
22,0.00036604772542762047,0.0008115983968072,0.00014162494192077916
23,0.0003475191954749325,0.0007201208504827,0.00015630034904685279
24,0.0003474119488166179,0.0008447581749826,0.00014449343006751737
25,0.0003517914896551139,0.0006556217468175,0.00012832523368950692
26,0.0003627233863465645,0.000909045375545,0.0001575326835941563
27,0.0003389465072562223,0.0009271041061282,0.0001579201952900718
28,0.00037908556599626275,0.0008793958784301,0.0001772036552293244
29,0.00035906349900508943,0.0009020219322167,0.0001471530547042499
30,0.00032344461113163384,0.0007504382198422,0.00013393045193713364
31,0.00038115311505429884,0.0008947349825506,0.00017289564089468962
32,0.00034241939662203773,0.0008071527046352,0.0001389156139934013
33,0.00030999883206844965,0.0006482458843679,0.00012965788621740473
34,0.00035982394614170296,0.0007568752299421,0.00013828155969093168
35,0.0003457288661600282,0.0007563023794091,0.00014541793610626605
36,0.0002869057893010569,0.0006954990758441,0.00011007044393450829
37,0.0003090500569630293,0.0006799118164144,0.00012204130072859327
38,0.0003957483362265146,0.0008097886579843,0.0001481010709487646
39,0.0003362977409393874,0.0009385547076754,0.00016364431191803159
40,0.0003275245700693775,0.0006731634982677,0.0001360567260640004
41,0.000349273281054951,0.0007299678395655,0.00014085589115861194
42,0.0003843438304739153,0.000772590100506,0.0001389033746071576
43,0.00039068318337227983,0.0008788798214773,0.0001674079320637843
44,0.00033873754616630004,0.0009303592719481,0.00016069054560995227
45,0.0002823667544176903,0.0007194302991256,0.00012183619590496862
46,0.0003514924280395358,0.0008069024432359,0.00014539783258574892
47,0.00033735408464302696,0.0007871115471139,0.0001462422370646338
