na_index,msd_frac,mean_displacement_frac,max_displacement_frac,final_displacement_frac
0,0.003859715537743403,0.059763397562803286,0.09268637746781667,0.04548782647814797
1,0.002218576447453618,0.04351904606231251,0.10985664128768412,0.05026733647441745
2,0.0018173560128050409,0.03928811413402209,0.0783065826883417,0.014066972664315494
3,0.0016139455356145578,0.03788996917512997,0.08666612420612162,0.03188242381037244
4,0.0012287355261358982,0.03301023684030632,0.05370700162873835,0.017201665656900844
5,0.001705868206494257,0.03808312990723354,0.07906778872286299,0.05649918915733738
6,0.0013620137402454511,0.03467163961509934,0.06296357406165959,0.026968055813187543
7,0.0019414543136364066,0.04079706757734374,0.09043916431480556,0.09034026670530368
8,0.0013186447999975143,0.034357917830904534,0.061975744069720465,0.03841420017665726
9,0.0019085266809431582,0.03917890900490941,0.09049112118380731,0.06650418863233278
10,0.00208365211586885,0.04342482524256691,0.07912871345976122,0.044045408669781926
11,0.0017255085309447196,0.038486645945148695,0.08554497334332158,0.03600704773393537
12,0.0013491135087307805,0.03227570465025536,0.08049866936921504,0.052031410987493
13,0.0014801124364178114,0.03649532413891164,0.06593497637674481,0.03978807029720089
14,0.0011378088038998151,0.03083640882699746,0.07014962781711102,0.033274480870465896
15,0.001169707966229614,0.03187775743958906,0.05458272503716172,0.014038945444259687
16,0.002059723370756214,0.03975276058195413,0.10194776873768889,0.07394615351318412
17,0.002403372376800319,0.04341232006122578,0.10107536856793402,0.054238342034241854
18,0.0010786852087468907,0.03072755110526466,0.05760059806238384,0.04150461734535685
19,0.0019878763486685298,0.040988451779468804,0.08123415207590277,0.05262333892145006
20,0.001899938543802405,0.040217274705909,0.07849659283436831,0.04881426676176239
21,0.0019872697270199705,0.039808571748859975,0.09369724866069495,0.07361958581051506
22,0.002886594851063013,0.04970391722744266,0.09396255145584921,0.018066793043252073
23,0.0012646516734281688,0.03343653691318487,0.06013369707574366,0.03999710127527863
24,0.0018233792727174606,0.039682263918333634,0.07622943743385818,0.046877194406869084
25,0.0012675928216524662,0.03298473394974194,0.06381977395113837,0.01866131263361183
26,0.0013139541376553428,0.034406705107967624,0.06036928011783309,0.060218066358631084
27,0.0015163041700837231,0.03478414605164719,0.08222297671675358,0.04764998411319148
28,0.0009377617452574298,0.02878218271810487,0.05727549768235187,0.034843527523202945
29,0.0016311582529712886,0.03733009981783148,0.06944223549764147,0.04442284902234659
30,0.0007855314491224399,0.025305502220527323,0.06607096200050515,0.03925825465312237
31,0.0016558079549453878,0.0376043854633054,0.07313480849682041,0.025344277793833463
32,0.0024279801101973653,0.04409902412663334,0.08986766256779687,0.05345921933494354
33,0.002826370198323801,0.046696704504463525,0.11619205317483336,0.08677018924678391
34,0.001445871815594012,0.035597455767207783,0.08118512508372519,0.035792361350770116
35,0.0014067449070721755,0.03521074933473123,0.06509767082938916,0.06041625806120149
36,0.0019993593735743746,0.042726819289549696,0.07378052312123097,0.037619173304715245
37,0.0013280977573640398,0.03296136107094161,0.0694182276198758,0.04315097535129069
38,0.002645610796956079,0.048146149771991054,0.08292562749768194,0.023481855179998016
39,0.0010304706530335007,0.02906238927297126,0.06213896524604031,0.038330266765334395
40,0.002874989596687964,0.04951256559932876,0.08562517041995246,0.08072758355940367
41,0.0020001636629264703,0.0397625204152892,0.08900054669891248,0.06817097541954782
42,0.0028427737630077822,0.049129148485672444,0.09413968238800148,0.07815307903282183
43,0.0025866497811553976,0.045045446522664366,0.0982600010618552,0.04747307940341977
44,0.0012628600329108368,0.03371047923258416,0.05581677628744335,0.03819698029471176
45,0.0020474489133925243,0.042879036956253704,0.07362202146113077,0.07099631033249122
46,0.0018217356825536075,0.03954997234203029,0.0810768022084961,0.04311165278122143
47,0.0011104939880349062,0.030881203603649047,0.0634823054702442,0.04942736054639677
