na_index,pc1,pc2
0,3.2639533598533244,3.5581398854565016
1,2.715279021718548,-1.4577076833881868
2,-0.3629983909356649,-0.17097699468596994
3,-0.24904460083216776,0.18729600313157554
4,-2.251602562948734,-0.9621396139280642
5,0.690134138896564,-1.4330596303216698
6,-1.5918682271969158,-0.4306023457818543
7,2.0054114149577096,-0.9828010296150264
8,-1.5366764781064757,0.01158183982130568
9,0.44454798852936406,0.9285736700394843
10,-0.2064668230018796,2.172559441655467
11,-0.748221791486399,2.483939889930423
12,-1.1469585005048966,1.1387722892830106
13,-1.815863997819437,1.4774103657318793
14,-2.45527928499856,1.7266010886896548
15,-1.964080398364022,-1.4930013572323473
16,1.0166476937516233,1.7670535795432434
17,1.4681327329961844,1.565727319313166
18,-2.1599307353346626,-0.004155167476051318
19,0.9431855566630274,-0.36548686015097587
20,0.30687339448531364,-0.09750457034421678
21,1.5087288364779996,-0.43482905291192187
22,1.7782824661788488,1.1500983361830335
23,-1.3413358896452345,-0.8797599477487021
24,0.04913726445273616,-0.054635586449292776
25,-1.1052629368382278,-1.978923671549216
26,-1.4605239683750557,0.392559711603152
27,-0.7574506101479905,0.4088031334104961
28,-3.030830456576163,0.9396732632515137
29,-0.8037483194392159,0.31524760695970644
30,-1.8627934246866542,-2.401316410396841
31,-1.4256273396727008,1.7349348815638725
32,1.6546733719537283,0.01757743233732008
33,4.3783409844762415,-1.2549217154685477
34,-0.33516494498006255,-0.6497172075981734
35,-0.49023981921141097,-0.9912477587097257
36,1.3217467156813836,-3.0215192290413375
37,-0.22366375237975747,-2.924534233594127
38,1.0022260956942957,1.6651041161420042
39,-2.52077882440784,-0.012376968493862153
40,3.301311985191323,-0.7935553573097531
41,1.3890588057866713,-0.53237544175696
42,2.9148837435078794,1.0302893322892404
43,1.2215550093109264,2.5474699545560884
44,-2.126296093910004,0.07886637163798056
45,1.7866210609167683,-2.6651343171296835
46,0.20330222133147066,-0.06015499080418367
47,-1.3913256910117937,-1.2458423706434274
