from_frame,to_frame,na_index,dx_frac,dy_frac,dz_frac,step_frac
719,720,10,-0.00033886,-0.0005642799999999,-0.00068315,0.0009486474268662
273,274,14,-0.0008352,-6.219999999945713e-06,0.0004477299999999,0.0009476602140535
275,276,14,-0.00083547,-8.54999999999606e-06,0.0004459299999999,0.00094706746766
1005,1006,9,-0.0004969699999999,-0.00058172,0.0005573199999999,0.0009465637441292
993,994,9,-0.00055782,-0.00050605,0.00057297,0.0009463320642354
1707,1708,13,0.00049685,0.0002623399999999,-0.0007584099999999,0.0009438580010785
272,273,14,-0.0008308899999999,-4.740000000058586e-06,0.00044657,0.000943305583891
708,709,10,-0.00029993,-0.00060915,-0.0006543799999999,0.0009429925300871
276,277,14,-0.00083123,-9.34000000007984e-06,0.0004428799999999,0.0009418987434432
1754,1755,13,0.0005783499999999,0.00040515,-0.00062091,0.0009403002037115
992,993,9,-0.0005580099999999,-0.0004950199999999,0.00056966,0.0009385800318033
599,600,39,-5.8000000000002494e-05,0.0008123299999999,0.0004665199999999,0.0009385547076754
600,601,39,-5.635000000003832e-05,0.0008136,0.00046427,0.0009384385517444
598,599,39,-5.971999999998534e-05,0.00080888,0.00046758,0.0009362074498742
271,272,14,-0.00082405,-3.0599999999436638e-06,0.00044414,0.0009361239798766
601,602,39,-5.471000000001336e-05,0.0008125399999999,0.00046084,0.0009357285617634
720,721,10,-0.0003367599999999,-0.0005501999999999,-0.0006772,0.0009352685056174
1006,1007,9,-0.0004849799999999,-0.0005805099999999,0.000549,0.0009346648920869
277,278,14,-0.0008242299999999,-9.87999999990663e-06,0.00043844,0.0009336392991407
597,598,39,-6.147999999994713e-05,0.0008034,0.00046756,0.0009315812922123
991,992,9,-0.00055804,-0.00048389,0.0005661699999999,0.0009306485064727
602,603,39,-5.308999999997788e-05,0.0008091199999999,0.0004562699999999,0.0009304171297863
1864,1865,44,0.0008067199999999,-0.0003565799999999,-0.00029601,0.0009303592719481
1755,1756,13,0.00057581,0.00040348,-0.0006089599999999,0.0009301535078147
1863,1864,44,0.0008065199999999,-0.0003539399999999,-0.0002976299999999,0.0009296943857526
1865,1866,44,0.0008055699999999,-0.00035876,-0.00029392,0.0009295379114914
1862,1863,44,0.00080503,-0.0003509299999999,-0.0002988099999999,0.0009276381740204
1866,1867,44,0.00080309,-0.0003604799999999,-0.0002913199999999,0.0009272360653576
2229,2230,27,-0.0006025399999999,0.00035026,-0.0006113799999999,0.0009271041061282
2230,2231,27,-0.00060028,0.0003484599999999,-0.0006145699999999,0.0009270688943654
270,271,14,-0.0008149299999999,-1.160000000055561e-06,0.0004405399999999,0.0009263842302738
2228,2229,27,-0.00060371,0.0003511699999999,-0.0006065300000001,0.0009250214991556
596,597,39,-6.329000000004914e-05,0.00079608,0.00046652,0.0009248729106748
2231,2232,27,-0.0005968699999999,0.0003457799999999,-0.0006160299999999,0.0009248300201658
707,708,10,-0.0002893199999999,-0.0006003099999999,-0.0006410399999999,0.0009246677457876
