na_index,msd_frac,mean_displacement_frac,max_displacement_frac,final_displacement_frac,mean_step_frac,max_step_frac,step_std_frac
0,0.0038597155377434,0.0597633975628032,0.0926863774678166,0.0454878264781479,0.0004015626416802,0.0008193554544884,0.0001704089349133
1,0.0022185764474536,0.0435190460623125,0.1098566412876841,0.0502673364744174,0.0003241850117385,0.0006823168590178,0.0001201508123918
2,0.001817356012805,0.039288114134022,0.0783065826883417,0.0140669726643154,0.0003548745156033,0.0007827412702163,0.0001424965663391
3,0.0016139455356145,0.0378899691751299,0.0866661242061216,0.0318824238103724,0.0003560134908641,0.0008341838610882,0.000147270814261
4,0.0012287355261358,0.0330102368403063,0.0537070016287383,0.0172016656569008,0.0003286758634371,0.0008783863422207,0.0001438888475644
5,0.0017058682064942,0.0380831299072335,0.0790677887228629,0.0564991891573373,0.0003332261560644,0.0007032640964815,0.0001356970527611
6,0.0013620137402454,0.0346716396150993,0.0629635740616595,0.0269680558131875,0.0003467834151031,0.0008796814802529,0.0001426702172755
7,0.0019414543136364,0.0407970675773437,0.0904391643148055,0.0903402667053036,0.0003500942812995,0.0007831639813602,0.0001206783359352
8,0.0013186447999975,0.0343579178309045,0.0619757440697204,0.0384142001766572,0.0003672529888616,0.0008231209097696,0.0001535645864557
9,0.0019085266809431,0.0391789090049094,0.0904911211838073,0.0665041886323327,0.0003459451748469,0.0009759446044217,0.0001514350348464
10,0.0020836521158688,0.0434248252425669,0.0791287134597612,0.0440454086697819,0.0003758926628925,0.0009896145288444,0.0001636402752778
11,0.0017255085309447,0.0384866459451486,0.0855449733433215,0.0360070477339353,0.0004240265557991,0.000891443880118,0.0001645097562497
12,0.0013491135087307,0.0322757046502553,0.080498669369215,0.052031410987493,0.0003816015245517,0.0008128925435136,0.0001756377675335
13,0.0014801124364178,0.0364953241389116,0.0659349763767448,0.0397880702972008,0.0003751720941768,0.0010900846112572,0.0001482523368284
14,0.0011378088038998,0.0308364088269974,0.070149627817111,0.0332744808704658,0.0004089340810209,0.000948981536069,0.0001633744765568
15,0.0011697079662296,0.031877757439589,0.0545827250371617,0.0140389454442596,0.0003595180037503,0.0007341361596461,0.0001319610534467
16,0.0020597233707562,0.0397527605819541,0.1019477687376888,0.0739461535131841,0.0003599130602125,0.0008794201607877,0.0001753887757511
17,0.0024033723768003,0.0434123200612257,0.101075368567934,0.0542383420342418,0.0003696814479626,0.0008325173019823,0.0001612600721463
18,0.0010786852087468,0.0307275511052646,0.0576005980623838,0.0415046173453568,0.0003821255180241,0.0008401674949675,0.0001503076396239
19,0.0019878763486685,0.0409884517794688,0.0812341520759027,0.05262333892145,0.0003778524884382,0.0007610640739123,0.0001247407858087
20,0.0018999385438024,0.040217274705909,0.0784965928343683,0.0488142667617623,0.0003434284394774,0.0008296420827079,0.0001456478784327
21,0.0019872697270199,0.0398085717488599,0.0936972486606949,0.073619585810515,0.0003382955703224,0.0007937716045563,0.0001400219097105
22,0.002886594851063,0.0497039172274426,0.0939625514558492,0.018066793043252,0.0003660477254276,0.0008115983968072,0.0001416249419207
23,0.0012646516734281,0.0334365369131848,0.0601336970757436,0.0399971012752786,0.0003475191954749,0.0007201208504827,0.0001563003490468
24,0.0018233792727174,0.0396822639183336,0.0762294374338581,0.046877194406869,0.0003474119488166,0.0008447581749826,0.0001444934300675
25,0.0012675928216524,0.0329847339497419,0.0638197739511383,0.0186613126336118,0.0003517914896551,0.0006556217468175,0.0001283252336895
26,0.0013139541376553,0.0344067051079676,0.060369280117833,0.060218066358631,0.0003627233863465,0.000909045375545,0.0001575326835941
