na_index,isolation_forest_score,is_anomaly
33,-0.09540434253078167,True
0,-0.07980480240497512,True
45,-0.02336836992302016,True
36,-0.01908140553031623,True
40,-0.0036683799866894518,True
42,0.0015721628514383523,False
1,0.00431388276713196,False
16,0.008192320445833068,False
22,0.0084278971732199,False
11,0.00930176336551658,False
30,0.013191718739297364,False
28,0.01969261576319692,False
38,0.028904740235376702,False
7,0.030164451503363887,False
13,0.036071449043426684,False
14,0.037070986908036285,False
37,0.03797456835687263,False
15,0.04306384125421825,False
43,0.051084686816677716,False
4,0.053412169503752216,False
25,0.05944131150699483,False
10,0.06099460989501837,False
9,0.06490804617992196,False
39,0.06909585380713978,False
17,0.07099129707762075,False
12,0.07360017509766614,False
31,0.08053001171107482,False
21,0.09108583176149393,False
19,0.09281861791313278,False
18,0.09508074919505327,False
2,0.09723764180937383,False
44,0.09865017522189173,False
5,0.1018301648423503,False
26,0.10255734312304221,False
27,0.10456754710059263,False
47,0.10459070518546598,False
32,0.11219623084828118,False
41,0.11801986193077396,False
23,0.11816176023385067,False
6,0.12153770130767266,False
3,0.12389464370827385,False
35,0.12460218555498986,False
8,0.1352138566186351,False
29,0.14009601891190065,False
34,0.14106003346876667,False
20,0.1430688594937506,False
24,0.14947591006272803,False
46,0.15416585168552066,False
