feature,mean,std,min,max,range,coefficient_of_variation
msd_frac,0.0017932908979298896,0.0006259532320678074,0.0007855314491224,0.0038597155377434,0.003074184088621,0.3490528127870304
mean_displacement_frac,0.0384969692420888,0.006564545237140973,0.0253055022205273,0.0597633975628032,0.034457895342275904,0.17052109208545033
max_displacement_frac,0.07792378990706143,0.015151843055616787,0.0537070016287383,0.1161920531748333,0.062485051546095,0.19444438051188437
mean_step_frac,0.00035437480568645204,2.8592058107303007e-05,0.0002823667544176,0.0004240265557991,0.00014165980138149998,0.08068310062821178
max_step_frac,0.0008177389537290604,9.55933589000841e-05,0.0006482458843679,0.0010900846112572,0.0004418387268893001,0.11689960281842808
step_std_frac,0.0001467480088558229,1.6171182696101437e-05,0.0001100704439345,0.0001772036552293,6.713321129480001e-05,0.11019694796669652
